Students	100
1	23 56 25 38
2	3 32 1 38
3	8 19 40 28
4	33 78 76 27
5	74 52 69 66
6	36 38 63 28
7	51 61 70 62
8	53 59 19 57
9	73 17 26 66
10	52 51 61 72
11	22 50 67 13
12	26 36 7 11
13	58 20 9 45
14	23 75 70 55
15	5 74 58 22
16	58 1 70 4
17	57 48 36 64
18	54 19 56 62
19	43 14 75 78
20	45 30 59 54
21	66 5 25 18
22	26 65 38 77
23	35 36 47 8
24	75 31 35 79
25	26 25 56 3
26	12 23 56 10
27	3 18 21 34
28	13 49 16 57
29	58 11 76 6
30	62 80 40 7
31	1 7 46 50
32	20 41 37 52
33	48 42 66 69
34	78 15 48 57
35	28 64 76 47
36	24 66 65 27
37	43 49 56 30
38	72 43 5 46
39	19 31 44 80
40	8 36 64 70
41	65 64 6 46
42	13 5 66 7
43	67 43 76 79
44	18 9 46 80
45	13 23 79 80
46	19 42 53 59
47	13 64 22 68
48	14 3 25 49
49	57 45 17 70
50	7 40 19 59
51	60 38 3 57
52	44 54 21 69
53	5 70 14 74
54	48 68 63 61
55	32 6 24 16
56	61 70 52 42
57	65 26 42 58
58	75 8 5 24
59	8 59 57 65
60	48 4 32 59
61	62 4 16 64
62	6 50 11 68
63	4 15 8 17
64	21 73 5 52
65	21 39 6 9
66	7 37 70 46
67	68 19 43 7
68	31 20 50 42
69	13 26 41 18
70	22 5 4 14
71	45 62 63 75
72	36 48 6 60
73	70 64 20 75
74	13 12 7 21
75	66 69 15 18
76	67 44 6 45
77	5 62 25 6
78	6 12 10 53
79	6 70 59 73
80	47 77 65 64
81	22 36 44 59
82	57 72 75 74
83	38 14 16 45
84	15 31 17 52
85	57 20 6 59
86	56 14 9 55
87	9 14 43 8
88	63 52 69 44
89	77 55 64 32
90	70 41 43 3
91	17 36 70 46
92	69 16 7 76
93	54 75 1 38
94	41 30 53 3
95	71 49 63 60
96	22 54 74 42
97	71 25 40 38
98	66 63 52 68
99	53 52 51 28
100	71 23 14 37
