Students	100
1	2 12 70 26
2	21 5 28 49
3	62 43 59 7
4	51 79 32 33
5	35 54 26 51
6	41 7 53 30
7	28 65 5 57
8	60 55 54 2
9	75 19 12 34
10	33 5 27 36
11	43 30 17 69
12	18 43 48 25
13	67 43 69 64
14	72 13 57 39
15	73 8 3 52
16	3 46 57 49
17	11 7 32 77
18	10 52 13 48
19	71 79 26 59
20	24 48 74 76
21	28 62 32 46
22	2 80 15 52
23	28 12 61 35
24	25 14 58 75
25	77 47 60 30
26	57 72 4 13
27	79 25 29 32
28	64 5 49 55
29	21 55 47 33
30	24 48 35 47
31	42 79 27 64
32	63 12 37 13
33	78 57 67 43
34	53 31 74 80
35	4 59 44 33
36	10 28 32 55
37	77 45 38 9
38	45 74 66 17
39	9 30 11 78
40	42 69 32 7
41	69 57 32 2
42	68 66 2 73
43	22 7 73 56
44	1 40 59 80
45	31 10 33 34
46	63 60 65 40
47	24 49 48 68
48	60 43 77 24
49	56 14 62 63
50	61 60 47 51
51	19 2 11 66
52	52 64 11 31
53	12 78 23 22
54	71 65 29 43
55	3 78 35 5
56	53 13 22 20
57	9 35 74 37
58	12 57 8 51
59	27 9 55 14
60	54 35 15 70
61	39 38 70 27
62	55 27 29 61
63	19 68 66 5
64	70 71 57 64
65	49 45 78 54
66	39 67 59 63
67	30 60 79 38
68	14 13 3 6
69	46 19 33 1
70	75 8 20 68
71	62 9 66 17
72	15 3 14 78
73	66 68 67 1
74	67 68 34 50
75	48 31 18 33
76	48 58 46 22
77	8 71 46 51
78	7 9 50 22
79	57 14 52 68
80	55 24 17 10
81	59 74 21 17
82	18 21 78 55
83	28 27 60 69
84	3 66 2 15
85	65 53 67 75
86	29 12 58 51
87	61 49 30 12
88	50 51 3 20
89	63 68 18 67
90	41 10 48 77
91	78 34 68 64
92	60 15 58 22
93	51 76 3 72
94	44 64 57 9
95	29 76 16 66
96	18 51 78 9
97	32 45 34 37
98	54 24 78 23
99	48 34 73 64
100	32 74 36 45
