Students	100
1	78 16 46 11
2	16 39 42 22
3	68 39 9 63
4	42 57 74 44
5	69 14 47 15
6	14 8 15 38
7	3 15 23 34
8	8 34 10 21
9	20 29 68 43
10	46 37 12 68
11	50 53 74 48
12	10 14 24 1
13	10 80 57 20
14	79 71 26 24
15	55 38 43 77
16	37 11 66 79
17	77 66 65 56
18	57 33 70 55
19	29 9 27 42
20	69 17 74 1
21	31 8 43 77
22	15 65 49 73
23	14 48 71 43
24	46 63 31 47
25	66 15 79 35
26	42 30 56 4
27	50 59 40 22
28	25 42 15 12
29	61 23 12 78
30	62 46 73 70
31	29 79 77 63
32	25 39 61 69
33	7 46 18 55
34	80 16 9 18
35	56 11 10 63
36	11 26 43 74
37	43 8 73 27
38	53 10 65 5
39	51 40 55 64
40	38 70 18 68
41	11 29 50 77
42	4 1 5 49
43	65 61 71 4
44	17 21 35 51
45	21 3 29 72
46	31 35 47 20
47	61 79 31 43
48	58 48 13 80
49	11 78 21 60
50	37 77 25 45
51	60 50 48 69
52	35 31 25 60
53	53 78 71 16
54	29 60 38 75
55	35 46 9 14
56	49 36 65 34
57	78 25 24 57
58	61 11 3 35
59	59 29 34 58
60	60 41 65 56
61	66 32 21 78
62	5 44 61 36
63	63 11 55 49
64	3 56 67 50
65	10 22 57 76
66	28 53 22 32
67	69 11 79 52
68	37 56 43 44
69	60 6 57 9
70	57 59 6 28
71	77 47 42 34
72	69 20 77 27
73	15 54 73 28
74	8 60 43 56
75	54 17 64 14
76	79 37 61 10
77	38 4 44 70
78	40 76 55 48
79	2 78 75 74
80	33 19 66 75
81	8 4 21 65
82	50 7 24 31
83	58 76 74 26
84	32 3 78 57
85	20 62 74 50
86	32 24 6 53
87	14 19 60 76
88	17 9 62 63
89	2 53 25 49
90	54 24 78 46
91	70 30 6 25
92	54 46 29 5
93	29 26 12 63
94	12 51 47 58
95	28 4 71 62
96	54 74 28 48
97	51 53 59 30
98	9 64 31 59
99	21 41 45 55
100	42 2 75 23
