Students	10000
1	76 71 22 62
2	78 59 88 70
3	53 37 28 12
4	62 44 20 42
5	85 6 5 53
6	67 15 55 86
7	71 18 59 65
8	38 88 49 28
9	13 31 46 52
10	48 81 74 27
11	67 45 86 33
12	66 78 38 45
13	16 74 3 51
14	42 10 43 78
15	51 46 35 61
16	27 66 52 37
17	66 30 13 81
18	24 4 87 40
19	40 19 60 35
20	88 44 62 36
21	37 13 73 15
22	73 10 8 56
23	82 70 32 86
24	66 41 6 4
25	74 30 46 27
26	50 17 34 14
27	55 47 23 82
28	23 6 29 5
29	37 10 85 53
30	25 79 69 7
31	66 51 81 90
32	30 34 85 25
33	5 23 22 61
34	7 13 65 56
35	32 53 39 76
36	77 41 35 39
37	67 77 32 41
38	18 10 70 54
39	64 67 8 68
40	38 31 90 83
41	4 30 51 34
42	71 65 44 16
43	62 60 13 66
44	73 7 86 88
45	40 67 58 46
46	23 52 90 65
47	48 9 29 55
48	47 8 24 39
49	88 89 80 20
50	67 39 3 10
51	52 6 75 31
52	51 30 27 34
53	86 39 72 81
54	35 64 17 9
55	72 26 20 9
56	23 9 34 39
57	52 69 38 66
58	62 33 32 47
59	64 61 29 6
60	59 74 58 5
61	21 88 81 76
62	4 80 1 10
63	53 45 85 74
64	72 27 13 22
65	8 66 79 13
66	18 46 57 70
67	43 76 6 17
68	86 47 80 26
69	76 49 58 46
70	13 74 80 19
71	37 19 84 15
72	36 80 16 28
73	55 14 64 57
74	55 1 10 18
75	71 35 46 52
76	41 18 50 77
77	5 23 49 20
78	19 25 81 49
79	56 52 24 68
80	58 74 3 60
81	75 88 18 63
82	45 34 88 2
83	84 35 22 32
84	1 62 56 55
85	31 11 85 26
86	86 28 75 30
87	88 83 29 48
88	22 56 20 67
89	43 11 83 89
90	4 87 17 73
91	79 48 15 62
92	62 76 29 3
93	74 58 6 79
94	13 49 28 73
95	73 90 26 72
96	9 52 83 37
97	10 1 17 30
98	58 43 29 44
99	15 49 18 19
100	58 37 9 81
101	79 31 70 82
102	74 50 21 6
103	72 57 38 20
104	17 29 36 89
105	86 61 87 57
106	21 12 10 90
107	55 81 20 69
108	50 15 73 38
109	62 81 31 84
110	68 24 67 50
111	29 43 21 24
112	34 10 1 75
113	55 8 63 36
114	26 21 67 11
115	30 43 85 62
116	90 30 4 31
117	49 4 29 34
118	87 84 28 64
119	49 89 4 72
120	39 56 40 71
121	9 28 47 48
122	49 32 60 26
123	86 88 18 12
124	26 34 33 87
125	47 62 53 6
126	1 6 42 14
127	24 12 72 77
128	90 50 77 24
129	48 41 65 78
130	12 14 73 89
131	2 73 35 62
132	14 43 52 22
133	72 78 24 20
134	26 48 13 68
135	3 40 86 27
136	64 38 20 80
137	43 52 21 40
138	44 64 79 35
139	41 1 32 63
140	32 18 80 82
141	49 1 57 7
142	71 86 4 33
143	34 67 50 52
144	64 70 45 32
145	67 89 8 73
146	60 42 61 87
147	49 30 90 13
148	11 24 3 6
149	39 87 20 43
150	7 26 32 2
151	46 78 17 27
152	26 8 50 73
153	25 90 20 62
154	64 53 22 9
155	31 84 89 44
156	40 9 27 20
157	24 68 40 61
158	17 16 66 11
159	43 3 28 27
160	61 81 80 30
161	66 30 82 60
162	20 9 53 46
163	76 43 32 18
164	63 75 21 27
165	21 47 56 6
166	15 26 56 72
167	48 51 53 82
168	38 25 9 49
169	26 73 13 75
170	59 82 60 26
171	66 72 22 42
172	21 55 2 71
173	87 86 12 60
174	15 65 41 12
175	53 36 3 58
176	67 74 56 14
177	30 66 24 77
178	87 76 14 77
179	20 13 19 10
180	13 30 54 67
181	63 14 28 15
182	17 58 46 66
183	44 72 30 46
184	37 84 6 82
185	76 40 7 25
186	77 56 69 46
187	15 45 90 9
188	90 59 87 11
189	33 28 48 42
190	9 37 86 26
191	49 85 55 88
192	61 5 71 20
193	5 45 31 51
194	2 41 4 66
195	58 21 85 77
196	70 29 69 22
197	80 49 57 39
198	65 72 6 64
199	53 65 87 80
200	78 11 19 44
201	87 21 62 42
202	63 10 41 23
203	84 16 31 2
204	65 90 78 12
205	58 25 86 85
206	38 84 76 25
207	65 17 36 3
208	9 79 23 59
209	38 7 45 5
210	83 68 28 40
211	69 53 51 88
212	53 3 36 21
213	60 63 68 4
214	63 28 71 27
215	42 22 57 75
216	64 31 49 25
217	1 26 33 84
218	10 25 87 33
219	87 58 18 65
220	73 78 56 15
221	3 69 23 40
222	30 36 16 78
223	63 89 23 53
224	65 7 59 77
225	54 33 39 28
226	32 37 73 27
227	31 73 72 60
228	88 23 25 64
229	88 26 10 49
230	46 39 9 90
231	25 69 74 7
232	65 14 76 58
233	78 29 14 3
234	24 53 82 2
235	63 76 27 17
236	81 76 18 51
237	72 22 57 8
238	87 39 65 85
239	84 24 78 21
240	71 64 7 4
241	86 14 17 66
242	43 66 90 71
243	17 13 40 59
244	41 12 76 7
245	23 27 60 33
246	17 41 46 23
247	5 80 35 37
248	23 71 12 87
249	77 13 29 48
250	43 12 63 62
251	2 20 4 90
252	3 71 75 53
253	34 66 40 85
254	68 49 2 54
255	51 14 18 28
256	18 52 30 88
257	50 84 67 79
258	53 31 28 44
259	23 63 37 67
260	52 49 58 1
261	66 9 56 6
262	32 14 81 58
263	74 62 17 38
264	41 86 32 46
265	36 83 3 18
266	54 28 35 26
267	4 22 34 86
268	6 32 67 55
269	2 29 47 6
270	31 38 66 17
271	40 84 58 21
272	21 75 67 18
273	27 41 7 70
274	26 8 32 29
275	79 87 40 3
276	12 33 20 13
277	41 11 45 50
278	45 18 53 56
279	23 40 16 73
280	45 26 77 71
281	68 53 47 46
282	87 53 32 56
283	85 76 25 37
284	9 13 65 35
285	42 12 26 6
286	68 15 51 9
287	45 9 60 89
288	66 28 30 10
289	40 62 8 55
290	80 17 27 11
291	17 31 11 16
292	61 23 9 40
293	21 5 43 63
294	53 9 35 20
295	69 63 17 7
296	60 19 65 23
297	87 10 70 36
298	45 7 28 50
299	38 69 73 49
300	35 2 4 24
301	56 53 82 35
302	39 59 40 30
303	31 60 27 20
304	28 76 35 60
305	12 27 71 2
306	30 7 28 63
307	81 66 43 48
308	37 55 72 41
309	58 42 90 81
310	79 52 65 14
311	20 67 47 69
312	7 84 61 77
313	10 70 90 55
314	24 34 46 89
315	31 30 83 12
316	53 70 10 15
317	5 8 30 2
318	39 70 2 19
319	4 10 83 51
320	70 46 29 45
321	5 1 37 9
322	11 38 66 2
323	49 86 14 43
324	39 10 17 84
325	65 46 54 70
326	80 35 42 65
327	41 68 57 76
328	64 18 56 40
329	23 25 68 62
330	29 38 76 53
331	54 46 86 27
332	80 84 27 66
333	83 73 6 60
334	76 59 86 58
335	73 9 81 6
336	31 64 69 51
337	2 26 27 39
338	32 9 51 42
339	11 89 75 36
340	80 39 2 43
341	89 84 3 28
342	5 39 28 80
343	76 8 39 90
344	72 83 80 5
345	67 61 54 53
346	6 68 79 90
347	63 80 82 53
348	41 31 89 60
349	54 22 77 27
350	52 42 10 54
351	26 66 58 63
352	85 67 55 5
353	17 7 12 32
354	61 74 50 49
355	4 35 33 87
356	43 19 31 11
357	28 37 10 19
358	34 19 90 25
359	55 80 5 73
360	72 15 4 53
361	82 58 84 13
362	48 80 61 78
363	37 17 77 46
364	47 58 46 81
365	88 63 62 59
366	84 33 20 80
367	43 89 25 11
368	9 40 54 68
369	43 24 46 41
370	61 70 59 39
371	71 37 81 33
372	71 54 77 1
373	52 71 82 38
374	71 68 26 78
375	5 25 74 10
376	49 46 11 24
377	68 12 25 29
378	54 28 56 90
379	11 26 29 20
380	74 49 13 9
381	54 36 34 3
382	40 54 63 68
383	32 42 43 74
384	30 5 75 19
385	27 10 44 61
386	43 62 47 49
387	76 43 52 30
388	45 82 74 63
389	15 84 44 85
390	79 57 46 76
391	15 76 61 75
392	19 25 45 8
393	66 57 87 41
394	56 42 86 68
395	87 6 58 47
396	71 8 56 18
397	20 73 14 79
398	50 2 6 51
399	76 22 47 39
400	56 37 17 60
401	38 62 31 23
402	57 52 18 43
403	9 61 90 58
404	70 68 12 74
405	32 6 9 71
406	31 63 4 13
407	30 41 53 33
408	77 16 24 10
409	12 19 76 70
410	88 7 55 8
411	20 12 63 69
412	60 22 75 64
413	43 7 84 33
414	53 77 84 37
415	67 22 39 3
